fullName,firstName,lastName,firmName,title,email,linkedin,location,source
"Roberto Crivelli","Roberto","Crivelli","SOAVE Asset Management","","","https://www.linkedin.com/company/soave-asset-management-ltd","Lugano, Switzerland","folk-european-family-offices-founders"
"Duncan Rooders","Duncan","Rooders","Matcorp Investments","","","https://www.linkedin.com/company/matcorp-investments","Hoofddorp, Netherlands","folk-european-family-offices-founders"
"Frédéric de Mevius","Frédéric","de Mevius","Verlinvest","","","https://www.linkedin.com/company/verlinvest","Brussels, Belgium","folk-european-family-offices-founders"
"Beat Diggelmann","Beat","Diggelmann","Asset Management Partners","","","https://www.linkedin.com/company/asset-management-partners-ag","Baar, Switzerland","folk-european-family-offices-founders"
"Arnold Krüger","Arnold","Krüger","Krüger Family Office","","","","Siegburg, Germany","folk-european-family-offices-founders"
"Pierre-Edouard Stérin","Pierre-Edouard","Stérin","Otium Capital","","","https://www.linkedin.com/company/otium-capital","Paris, France","folk-european-family-offices-founders"
"Mohamed Omar","Mohamed","Omar","W Investments","","","https://www.linkedin.com/company/w-investments","London, United Kingdom","folk-european-family-offices-founders"
"Till Reinicke","Till","Reinicke","Reinicke Family Office","","","","Baden-Baden, Germany","folk-european-family-offices-founders"
"Michael Greve","Michael","Greve","Kizoo Ventures","","","https://www.linkedin.com/company/kizoo","Karlsruhe, Germany","folk-european-family-offices-founders"
"Yana Dresselhaus","Yana","Dresselhaus","Dresselhaus Ventures","","","","Berlin, Germany","folk-european-family-offices-founders"
"Kim Risto Groop","Kim Risto","Groop","First Fellow Partners","","","","Helsinki, Finland","folk-european-family-offices-founders"
"Neil Hutchinson","Neil","Hutchinson","Neon Adventures","","","https://www.linkedin.com/company/neon-adventures","London, United Kingdom","folk-european-family-offices-founders"
"Yair Re'Em","Yair","Re'Em","Hasso Plattner Ventures","","","https://www.linkedin.com/company/hasso-plattner-ventures","Berlin, Germany","folk-european-family-offices-founders"
"Alexander Leyviman","Alexander","Leyviman","Atlant Capital","","","","Luxembourg, Luxembourg","folk-european-family-offices-founders"
"Hans Bruderer","Hans","Bruderer","H. Bruderer Vermögensverwaltung","","","","Zurich, Switzerland","folk-european-family-offices-founders"
"Daniel Aegerter","Daniel","Aegerter","Armada Investment Group","","","https://www.linkedin.com/company/armada-investment-group-ag","Kusnacht, Switzerland","folk-european-family-offices-founders"
"Patrick Johannes Aregger","Patrick Johannes","Aregger","Landert Family Office","","","","Zurich, Switzerland","folk-european-family-offices-founders"
"Eric Pittomvils","Eric","Pittomvils","Flossbach von Storch","","","https://www.linkedin.com/company/flossbach-von-storch","Köln, Germany","folk-european-family-offices-founders"
"Hjalmar Didrikson","Hjalmar","Didrikson","Alfvén & Didrikson","","","https://www.linkedin.com/company/alfv-n-&-didrikson-ab","Stockholm, Sweden","folk-european-family-offices-founders"
"Burkhard Wittek","Burkhard","Wittek","Forum Family Office","","","https://www.linkedin.com/company/forum-family-office","Munich, Germany","folk-european-family-offices-founders"
"Alain Falys","Alain","Falys","Firestartr","","","https://www.linkedin.com/company/firestartr","London, United Kingdom","folk-european-family-offices-founders"
"Manel Cerqueda Diez","Manel","Cerqueda Diez","Andosins Capital","","","","Andorra, Andorra","folk-european-family-offices-founders"
"Matt Klaeffling","Matt","Klaeffling","Kalbert Family Office","","","","Munich, Germany","folk-european-family-offices-founders"
"Bill Procter","Bill","Procter","Consensus Business Group","","","https://www.linkedin.com/company/consensus-business-group","London, United Kingdom","folk-european-family-offices-founders"
"Amir Ramot","Amir","Ramot","Aurec Capital Group","","","","Berlin, Germany","folk-european-family-offices-founders"
"Raffi Balyozyan","Raffi","Balyozyan","Genthod Global Wealth Management","","","https://www.linkedin.com/company/genthod-global-wealth-management---ggwm","Geneva, Switzerland","folk-european-family-offices-founders"
"Leon Seynave","Leon","Seynave","Stanhope Capital","","","https://www.linkedin.com/company/stanhope-capital-llp","London, United Kingdom","folk-european-family-offices-founders"
"François Bueche","François","Bueche","ATAG Private & Corporate Services","","","","Basel, Switzerland","folk-european-family-offices-founders"
"Vitaly Rubstein","Vitaly","Rubstein","RubyLight","","","https://www.linkedin.com/company/rubylight","Riga, Latvia","folk-european-family-offices-founders"
"Søren Thorup Sørensen","Søren Thorup","Sørensen","KIRKBI A/S","","","https://www.linkedin.com/company/kirkbi-a-s","Billund, Denmark","folk-european-family-offices-founders"
"Brian Souter","Brian","Souter","Souter Investments","","","https://www.linkedin.com/company/souter-investments-limited","Edinburgh, Scotland","folk-european-family-offices-founders"
"Rico Baumgartne","Rico","Baumgartne","Baumgartner Family Office","","","","Zurich, Switzerland","folk-european-family-offices-founders"
"Mikkel Hammershøj","Mikkel","Hammershøj","Selfinvest Family Office","","","https://www.linkedin.com/company/selfinvest-family-office","Middelfart, Denmark","folk-european-family-offices-founders"
"Guy Shutt","Guy","Shutt","Stockdale Street","","","https://www.linkedin.com/company/stockdale-street","London, United Kingdom","folk-european-family-offices-founders"
"Philipp Semmer","Philipp","Semmer","Motu Ventures","","","https://www.linkedin.com/company/motuventures","Berlin, Germany","folk-european-family-offices-founders"
"Jon Wright","Jon","Wright","JamJar Investments","","","https://www.linkedin.com/company/jamjar-investments","London, United Kingdom","folk-european-family-offices-founders"
"Masoud Kamali","Masoud","Kamali","WestTech Ventures","","","https://www.linkedin.com/company/westtech-ventures-gmbh","Berlin, Germany","folk-european-family-offices-founders"
"Marc Hoffmann","Marc","Hoffmann","Quilvest Switzerland","","","https://www.linkedin.com/company/quilvest-usa-inc._2","Paris, France","folk-european-family-offices-founders"
"Thomas Rüschen","Thomas","Rüschen","Deutsche Oppenheim Family Office","","","https://www.linkedin.com/company/deutsche-oppenheim-family-office-ag","Munich, Germany","folk-european-family-offices-founders"
"Yogesh Dewan","Yogesh","Dewan","Hassium Asset Management","","","https://www.linkedin.com/company/hassium-asset-management-limited","London, United Kingdom","folk-european-family-offices-founders"
"Doug Scott","Doug","Scott","Potential VC","","","https://www.linkedin.com/company/potential-vc","London, United Kingdom","folk-european-family-offices-founders"
"Will Wyatt","Will","Wyatt","Caledonia Investments","","","https://www.linkedin.com/company/caledonia-investments","London, United Kingdom","folk-european-family-offices-founders"
"Albert Y Gowen","Albert","Y Gowen","Gowen Family Office","","","","Geneva, Switzerland","folk-european-family-offices-founders"
"Klaas de Boer","Klaas","de Boer","Entrepreneurs Fund","","","https://www.linkedin.com/company/entrepreneurs-fund-management-llp","London, United Kingdom","folk-european-family-offices-founders"
"Noam Ohana","Noam","Ohana","Exor","","","https://www.linkedin.com/company/289176","Amsterdam, Netherlands","folk-european-family-offices-founders"
"Max Seyer","Max","Seyer","Seyer & Partner","","","https://www.linkedin.com/company/seyer-&-partner-fo","Vienna, Austria","folk-european-family-offices-founders"
"Fiona Frick","Fiona","Frick","Unigestion","","","https://www.linkedin.com/company/unigestion","Geneva, Switzerland","folk-european-family-offices-founders"
"Bernhard Oberhofer","Bernhard","Oberhofer","Harald Quandt Holding","","","https://www.linkedin.com/company/harald-quandt-holding-gmbh","Bad Homburg vor der Höhe, Germany","folk-european-family-offices-founders"
"Mihir Kotecha","Mihir","Kotecha","THI Investments","","","","Stuttgart, Germany","folk-european-family-offices-founders"
"Johnny Hewett","Johnny","Hewett","Smedvig Capital","","","https://www.linkedin.com/company/smedvig-capital","London, United Kingdom","folk-european-family-offices-founders"
"Patrick de Maeseneire","Patrick","de Maeseneire","Jacobs Holding","","","https://www.linkedin.com/company/jacobsholdingag","Zurich, Switzerland","folk-european-family-offices-founders"
"Claus Kuehn","Claus","Kuehn","Hamburg Family Office (HFO)","","","","Hamburg, Germany","folk-european-family-offices-founders"
"Kerstin Cooley","Kerstin","Cooley","Moor","","","","Stockholm, Sweden","folk-european-family-offices-founders"
"Beat Rauss","Beat","Rauss","Univest","","","https://www.linkedin.com/company/univest-ag","Basel, Switzerland","folk-european-family-offices-founders"
"Peter Schuppli","Peter","Schuppli","Cottonfield Family Office","","","https://www.linkedin.com/company/cottonfield-family-office-ag","Zurich, Switzerland","folk-european-family-offices-founders"
"York Hosak","York","Hosak","faktum-b","","","","Frankfurt, Germany","folk-european-family-offices-founders"
"Gualtiero Giori","Gualtiero","Giori","1782 group","","","","Geneva, Switzerland","folk-european-family-offices-founders"
"Thomas Jones","Thomas","Jones","Charlotte Street Capital","","","https://www.linkedin.com/company/charlotte-street-capital-limited","London, United Kingdom","folk-european-family-offices-founders"
"Johan Gesink","Johan","Gesink","Backershage B.V.","","","","Bussum, Netherlands","folk-european-family-offices-founders"
"Stef Ten Brinke","Stef","Ten Brinke","tB Capital","","","https://www.linkedin.com/company/tb-investments","Varsseveld, Netherlands","folk-european-family-offices-founders"
"Mischa Seeholzer","Mischa","Seeholzer","GHP Arbitrium","","","https://www.linkedin.com/company/ghp-arbitrium-ag","Zurich, Switzerland","folk-european-family-offices-founders"
"Ramiz Haddad","Ramiz","Haddad","Ramiz Haddad Family Office","","","","Hamburg, Germany","folk-european-family-offices-founders"
"Jan Christoph Gras","Jan Christoph","Gras","Berlin Ventures","","","https://www.linkedin.com/company/berlin-ventures-limited","Berlin, Germany","folk-european-family-offices-founders"
"Alastair Alderton","Alastair","Alderton","Rianta Capital","","","","Zurich, Switzerland","folk-european-family-offices-founders"
"Dominik Ezehnder","Dominik","Ezehnder","Kehrli & Zehnder Global Wealth Management","","","","Zurich, Switzerland","folk-european-family-offices-founders"
"Antoine Friling","Antoine","Friling","Praxis","","","","Antwerp, Belgium","folk-european-family-offices-founders"
"Adam Said","Adam","Said","ACE & Company","","","https://www.linkedin.com/company/ace-&-company-development-group","London, United Kingdom","folk-european-family-offices-founders"
"Niclas Diesen","Niclas","Diesen","Hartwall Capital","","","https://www.linkedin.com/company/hartwall-capital-oy-ab","Helsinki, Finland","folk-european-family-offices-founders"
"Jens Spudy","Jens","Spudy","Spudy & Co. Family Office","","","https://www.linkedin.com/company/spudy-family-office-gmbh","Hamburg, Germany","folk-european-family-offices-founders"
"Andrea Colombo","Andrea","Colombo","U-Start","","","https://www.linkedin.com/company/u-start","Lugano, Switzerland","folk-european-family-offices-founders"
"Tilly Franklin","Tilly","Franklin","Alta Advisers Limited","","","https://www.linkedin.com/company/alta-advisers-limited","London, United Kingdom","folk-european-family-offices-founders"
"Thomas Kottmann","Thomas","Kottmann","Fortiori Family Office","","","","Zug, Switzerland","folk-european-family-offices-founders"
"Steen E.","Steen","E.","Ferguson Partners Family Office","","","https://www.linkedin.com/company/ferguson-partners-family-office-limited","London, United Kingdom","folk-european-family-offices-founders"
"Jean-Pierre Lagane","Jean-Pierre","Lagane","Lagane Family Office","","","","Geneva, Switzerland","folk-european-family-offices-founders"
"Joakim D Lehmkuhl","Joakim","D Lehmkuhl","Octogone Family Office","","","","Geneva, Switzerland","folk-european-family-offices-founders"
"James Fleming","James","Fleming","SandAire","","","https://www.linkedin.com/company/sand-aire-limited","London, United Kingdom","folk-european-family-offices-founders"
"Matteo Cerri","Matteo","Cerri","TFO Family Office","","","","Bensheim, Germany","folk-european-family-offices-founders"
"Matthew Fleming","Matthew","Fleming","Stonehage Fleming","","","https://www.linkedin.com/company/stonehagefleming","Zurich, Switzerland","folk-european-family-offices-founders"
"Sandro Salsano","Sandro","Salsano","Salsano Family Office","","","","London, United Kingdom","folk-european-family-offices-founders"
"Alec Rauschenbusch","Alec","Rauschenbusch","Grazia Equity","","","https://www.linkedin.com/company/grazia-equity","Stuttgart, Germany","folk-european-family-offices-founders"
"Richard Adams Adams","Richard Adams","Adams","Capital Generation Partners","","","https://www.linkedin.com/company/capital-generation-partners","London, United Kingdom","folk-european-family-offices-founders"
"Alan Morris","Alan","Morris","Londinium Family Office","","","","Dublin, Ireland","folk-european-family-offices-founders"
"Maria Dramalioti-Taylor","Maria","Dramalioti-Taylor","Beacon Capital - London based tech VC","","","https://www.linkedin.com/company/beacon-capital-llp","London, United Kingdom","folk-european-family-offices-founders"
"Bruno Sacher","Bruno","Sacher","Gaydoul Group","","","https://www.linkedin.com/company/gaydoul-group-ag","Friesbach, Switzerland","folk-european-family-offices-founders"
"Gianni Poncini","Gianni","Poncini","SMC Trust Office","","","","Ascona, Switzerland","folk-european-family-offices-founders"
"James Murray","James","Murray","Murray Family Office Limited","","","https://www.linkedin.com/company/the-murray-family-office-limited","St Helier, Jersey","folk-european-family-offices-founders"
"Hans-Jürgen Queisser","Hans-Jürgen","Queisser","de Pury Pictet Turrettini & Sie","","","","Geneva, Switzerland","folk-european-family-offices-founders"
"Luca Silvia Rancilio","Luca Silvia","Rancilio","Rancilio Cube","","","https://www.linkedin.com/company-beta/5075237/","Milano, Italy","folk-european-family-offices-founders"
"Jose Martin Cabiedes","Jose Martin","Cabiedes","Cabiedes & Partners","","","https://www.linkedin.com/company/cabiedes-&-partners","Madrid, Spain","folk-european-family-offices-founders"
"Martin Görlitz","Martin","Görlitz","bfu","","","","Koblenz, Germany","folk-european-family-offices-founders"
"Tony Knecht","Tony","Knecht","IHAG Holding","","","https://www.linkedin.com/company/ihag-holding-ag","Zurich, Switzerland","folk-european-family-offices-founders"
"Hjalmar Winbladh","Hjalmar","Winbladh","EQT Ventures","","","https://www.linkedin.com/company/eqt-ventures","Stockholm, Sweden","folk-european-family-offices-founders"
"Aksel Azrac","Aksel","Azrac","1875 Finance","","","","Geneva, Switzerland","folk-european-family-offices-founders"
"Rupert Swallow","Rupert","Swallow","Panthera Private Office","","","","London, United Kingdom","folk-european-family-offices-founders"
